id,predict_data,mse,rmse,smooth,skip,result_corr
117,62.519054 51.52521  53.066406 61.878796 50.715736 52.800007 58.718983 55.605354 53.793694 55.4869   47.35148  60.370975,5322.8013,72.95753059,raw,1,0.014283339641177617
118,63.20307  55.755276 52.592186 60.97743  50.32613  54.23893  55.991642 59.09201  50.9705   50.919224 48.95405  62.01467 ,5073.3643,71.22755266,raw,1,0.2212582294978297
119,59.974514 55.839447 49.9762   59.606354 52.08063  54.053772 58.116177 56.622715 50.970264 56.031204 48.664375 59.41854 ,4866.239,69.75843153,raw,1,0.2007369927586109
120,59.646954 52.305466 47.889282 60.342354 50.24179  52.848793 58.30864 59.31349  47.01472  52.116817 47.73342  60.0333  ,4725.893,68.74513122,raw,1,0.009662888178254003
121,62.02124  54.707447 51.972115 61.953136 49.84909  54.32479  55.62302 59.59385  47.44987  48.571686 48.238506 62.64398 ,4251.4375,65.20304824,raw,1,0.13203646466035573
122,56.139313 51.47161  49.889046 60.59803  48.46899  56.983826 58.112164 58.585155 51.911434 53.606518 46.8419   59.529587,3927.3347,62.66845073,raw,1,-0.12901163622384512
123,56.927097 50.589954 51.705395 63.307743 48.94736  52.157352 60.385006 59.079582 54.56616  51.85374  45.56826  65.559   ,3416.7852,58.45327327,raw,1,-0.052542785537808195
124,58.941845 53.56     52.457684 62.805412 49.68488  51.04312  57.87886 57.50792  51.402725 53.108387 44.13915  63.51703 ,2932.2703,54.15044103,raw,1,0.19103234899566607
125,53.414524 51.25718  55.3368   60.732613 48.39277  55.63794  59.807537 62.47459  53.769356 53.571545 43.07803  61.016   ,2466.5513,49.66438633,raw,1,-0.03981794931094568
126,57.241074 50.237816 56.261005 61.292393 48.86955  54.480057 61.112724 60.94423  57.07235  49.641438 43.540237 65.76806 ,2034.6665,45.10727773,raw,1,-0.05955995165760415
127,56.41719  48.091576 49.74936  62.727642 49.676544 53.290695 61.05791 56.919605 56.740948 54.323174 46.640865 63.363472,1840.875,42.90541924,raw,1,-0.05480791483387567
128,54.818256 48.677666 50.56773  60.209347 48.41768  53.949944 63.570644 55.373283 57.555023 55.049137 44.87124  61.19833 ,1770.6758,42.07939854,raw,1,-0.20767562631674524
129,55.692024 46.76018  51.820446 61.54611  46.83852  54.02092  61.889587 58.007095 59.223896 50.663326 44.45549  64.298645,1732.9194,41.62834892,raw,1,-0.2759738963559709
130,54.369804 49.16345  55.142166 61.681496 50.66244  52.396942 60.72408 59.15241  56.739727 54.726135 44.030155 61.577248,1643.9244,40.54533806,raw,1,-0.31287756124372557
131,56.895134 45.156925 50.78855  57.879265 51.082054 52.73625  60.97306 57.930103 57.382393 52.78445  47.839893 57.849453,1621.4735,40.26752427,raw,1,-0.17642049397520587
132,57.630585 49.171085 51.191063 57.095245 51.253864 48.72545  60.748425 53.272137 61.20384  57.780296 45.99213  62.83751 ,1574.3473,39.67804544,raw,1,0.3413320824110925
133,53.478374 52.384922 55.717564 60.13625  50.99652  46.667393 57.38184 59.434025 53.498077 59.044388 43.26836  59.274124,1740.0162,41.71350184,raw,1,0.056141445883790414
134,52.929935 49.79497  55.296505 58.232113 50.751938 48.996998 57.959263 62.303493 54.942284 55.604153 44.54238  60.19194 ,1908.2719,43.68377102,raw,1,0.11536125476386538
135,57.20631  51.77533  50.277164 57.72337  50.948074 47.175903 56.369526 59.003395 53.457516 55.921047 45.53241  62.099243,2163.3115,46.51141283,raw,1,0.1375160092446664
136,54.267025 52.85821  50.781742 57.996307 51.116486 46.43426  54.470753 59.333637 49.064503 60.919777 45.919487 58.55625 ,2519.3298,50.19292613,raw,1,0.12416451430598033
137,55.62582  47.269238 49.3503   58.71946  48.138474 49.311165 58.22513 57.633255 53.852005 56.184135 43.293556 58.858253,2940.9934,54.23092668,raw,1,0.13277321764721842
138,58.77975  45.503277 50.309803 65.228195 47.48546  51.22347  58.712006 59.164555 53.94763  52.70845  45.108414 62.24475 ,3255.8367,57.05993927,raw,1,0.036293298663236995
139,57.561607 48.211636 49.85485  58.27649  49.46119  54.106636 58.617096 58.669186 53.724773 54.012596 47.018936 57.754166,3678.038,60.6468308,raw,1,0.03539365760386823
140,58.069973 46.684574 48.830463 60.30448  48.958546 52.099594 59.92166 57.79895  54.799675 53.365772 47.65703  58.07842 ,4049.0388,63.6320581,raw,1,0.12029725272701312
141,59.736244 50.01744  52.83798  63.67139  50.887318 50.47129  59.242588 54.877415 54.94662  56.4163   45.93068  61.581947,4239.192,65.1090769,raw,1,-0.0521646833399462
142,60.67308  51.243248 51.726334 60.202293 49.915024 55.200188 58.54993 58.236362 53.49542  51.25382  47.54086  58.65818 ,4552.3647,67.4712142,raw,1,-0.14555294258232912
143,60.947723 50.88549  52.1766   60.35351  50.56338  55.278996 60.01273 58.08387  53.3797   51.52708  48.41103  59.068054,4761.845,69.00612447,raw,1,-0.0660082885351108
144,60.724197 50.978237 48.862312 61.46953  50.16176  55.142677 60.523533 57.222466 51.59926  50.455154 49.654617 59.986702,4848.4595,69.63088017,raw,1,-0.19882284296562486
145,60.151115 51.266033 47.008053 61.488777 50.531815 55.211952 61.217487 54.88731  50.855263 52.348034 49.515026 59.3614  ,4785.8525,69.17985645,raw,1,-0.07475657823880769
146,58.779858 53.164005 48.612453 60.843582 49.59415  54.545044 58.410744 56.995487 48.582077 52.750954 47.75207  60.782925,4651.2944,68.20039907,raw,1,-0.06884374138620267
147,59.15427  53.36637  51.642742 61.435432 52.08793  53.010338 57.789993 56.37708  51.089237 53.671246 46.63809  61.209755,4310.1597,65.65180628,raw,1,0.14687593076264016
148,58.68124  53.507427 53.78415  61.297455 52.44521  52.054817 56.79128 57.6419   51.176464 54.238617 45.90751  60.652977,3965.7937,62.97454804,raw,1,0.19409652351985607
149,57.45083  53.39432  54.917965 58.851864 51.49336  51.9785   57.45169 57.87379  54.35666  54.304585 46.366222 61.7406  ,3594.3906,59.95323699,raw,1,0.019400608665688657
150,54.769543 55.16178  57.38552  59.198708 49.492912 51.275887 57.29746 60.942776 52.21352  54.28936  44.283512 62.077084,3215.551,56.70582885,raw,1,0.0932617817397035
151,52.31461  51.730434 55.75902  60.26685  49.03684  52.983185 58.775967 64.01886  51.559334 53.09914  45.155365 61.626667,2874.1404,53.61100988,raw,1,-0.0258336896939044
152,54.42074  51.867832 51.87931  59.227978 48.89845  53.980045 59.817253 60.71464  53.3577   52.185726 45.684128 62.841225,2538.9875,50.3883672,raw,1,-0.2040518919632986
153,54.854404 49.680336 50.172115 60.80199  49.48313  53.759727 60.235374 57.32913  54.774208 54.77173  46.474434 61.044365,2202.8567,46.93460013,raw,1,-0.33215264195369354
154,54.338997 49.175793 52.68233  60.573444 47.879524 54.2786   60.785664 56.434223 58.04159  54.124798 43.555054 61.697247,1847.7528,42.98549532,raw,1,-0.20360249456871
155,55.92471  46.083237 52.05123  62.299076 48.004208 55.363712 62.34126 56.606453 61.652184 50.872314 44.291386 62.208553,1457.3984,38.17588817,raw,1,-0.08682476336776737
